n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
32959,121.0,5.875564174634383,0.5061728395061729,0.9288391461883213,8.062159999676906,22.781880518219605,0.5061728395061729,1.2661180673727208,0.09016393442622951,STABLE,121
41154,88.0,4.89285673286193,0.45901639344262296,0.9106223680988619,5.740848305867649,1.8986246780385867,0.45901639344262296,1.7755361361140993,0.1348314606741573,STABLE,88
198,26.0,2.6522463410033232,0.35,0.876716288999464,3.407888934116793,2.2626262626262625,0.35,0.4775367427517894,0.14814814814814814,STABLE,26
41162,62.0,4.790601794962827,0.4,0.8832225588099292,4.044614587808499,1.50002429425198,0.4,1.451062509531129,0.031746031746031744,STABLE,62
49359,189.0,5.698769313922323,0.5447154471544715,0.9409217747114994,12.122358432788834,10.125164610304099,0.5447154471544715,1.3908400169315434,0.03684210526315789,STABLE,189
213,13.0,2.8068580295188172,0.16666666666666666,0.74959525725948,1.6807353654241548,3.004694835680751,0.16666666666666666,0.7688419822495559,0.07142857142857142,STABLE,13
41173,31.0,5.091740798962547,0.23076923076923078,0.7578784625383954,2.022256438815822,3.000024287761397,0.23076923076923078,2.025705302304809,0.03125,STABLE,31
41174,150.0,5.1203139347289115,0.5252525252525253,0.9349520981652116,9.785089434321842,3.203963666391412,0.5252525252525253,1.1055382874638209,0.12582781456953643,STABLE,150
49368,264.0,5.989183196502892,0.5680473372781065,0.9475811052279837,16.932532462481404,19.75773780586615,0.5680473372781065,1.5262700635292412,0.30566037735849055,STABLE,264
16602,97.0,4.982076661723761,0.48484848484848486,0.9216597034450194,6.919146844158838,5.779785568003855,0.48484848484848486,1.6898343510075766,0.4489795918367347,STABLE,97
8411,65.0,4.805371706011885,0.43478260869565216,0.9023932827949788,4.985403650771667,7.5948163119724175,0.43478260869565216,1.7104040249644927,0.15151515151515152,STABLE,65
24798,263.0,6.394461662479842,0.5714285714285714,0.9486738067246727,18.016245400298736,100.01032341317848,0.5714285714285714,2.041435768729186,0.3371212121212121,STABLE,263
8415,109.0,5.538504613154735,0.5068493150684932,0.9299429352091801,8.359698623663064,41.06286393345217,0.5068493150684932,2.276021268925273,0.32727272727272727,STABLE,109
49380,52.0,4.693559880453842,0.358974358974359,0.859531691450293,3.3351207836144345,1.0,0.358974358974359,1.967059151031575,0.0,STABLE,52
228,34.0,2.359835482339888,0.4,0.898058793450166,4.340671187584086,1.0,0.4,0.36795717749557194,0.0,STABLE,34
24808,157.0,4.394609259103546,0.5339805825242718,0.9379626436434423,10.754516454120184,1.0,0.5339805825242718,0.6127576115350171,0.0,STABLE,157
233,83.0,3.965342835560622,0.5272727272727272,0.9402859586706311,10.554175406493863,39.622317596566525,0.5272727272727272,0.7408028460752634,0.5833333333333334,STABLE,83
49386,114.0,4.869706836140815,0.4935064935064935,0.9239841591414172,7.3115287500336175,1.5000202486534646,0.4935064935064935,0.8127787085864061,0.017391304347826087,STABLE,114
41195,150.0,5.370381689627782,0.5252525252525253,0.9349520981652116,9.784619888971223,5.695545575919407,0.5252525252525253,1.362945756027457,0.08609271523178808,STABLE,150
41199,88.0,6.19972035552973,0.45901639344262296,0.9106223680988619,5.740257883951267,38.444428262821916,0.45901639344262296,2.6699484974753727,0.20224719101123595,STABLE,88
16624,66.0,4.220761653975142,0.425531914893617,0.8970964164730477,4.7072316120265505,1.0,0.425531914893617,0.981732636748972,0.0,STABLE,66
8433,83.0,4.403137686626381,0.47368421052631576,0.9182958340544896,6.364137431505027,3.000118581762125,0.47368421052631576,0.9099870411364926,0.011904761904761904,STABLE,83
24820,157.0,4.394819274573398,0.5339805825242718,0.9379626436434423,10.754002504694823,1.0,0.5339805825242718,0.6568540271035758,0.0,STABLE,157
49399,145.0,5.523029419325123,0.5208333333333334,0.9334548655102479,9.299525004928295,6.750096155792628,0.5208333333333334,1.1576892210703427,0.03424657534246575,STABLE,145
8441,57.0,4.505922877206901,0.4146341463414634,0.8935711016541907,4.370093828759359,3.7976543063618053,0.4146341463414634,1.515850194351811,0.1896551724137931,STABLE,57
251,65.0,3.965342835560622,0.5,0.9327076126690368,8.154004247745142,36.78087649402391,0.5,0.9101357436704234,0.4696969696969697,STABLE,65
33020,173.0,5.354087300405963,0.5398230088495575,0.9395876193289701,11.524841446147619,6.843973349485161,0.5398230088495575,1.410226744823468,0.20689655172413793,STABLE,173
33024,129.0,4.518842826286565,0.5116279069767442,0.9305861291319928,8.593567854579971,1.0,0.5116279069767442,0.6096308479662739,0.0,STABLE,129
8451,57.0,4.58016058341998,0.4146341463414634,0.8935711016541907,4.369521595220165,4.500295822979529,0.4146341463414634,1.0881000043923097,0.05172413793103448,STABLE,57
24837,157.0,4.872232049066857,0.5339805825242718,0.9379626436434423,10.753274918877873,3.0000402625115754,0.5339805825242718,0.6930809708576657,0.006329113924050633,STABLE,157
24838,157.0,4.747326339024257,0.5339805825242718,0.9379626436434423,10.753232138287164,2.2501006522264273,0.5339805825242718,0.7042662182960887,0.02531645569620253,STABLE,157
16645,66.0,4.698422448256003,0.425531914893617,0.8970964164730477,4.706620226815949,3.000060078101532,0.425531914893617,1.127171891199683,0.014925373134328358,STABLE,66
41224,150.0,4.615160664316557,0.5252525252525253,0.9349520981652116,9.783971936563812,1.0,0.5252525252525253,0.7783245578165966,0.0,STABLE,150
