d,k,c,n,omega,cycle_or_info
2,2,7,931,CYCLIC,[np.int32(-7)]
2,2,7,737,CYCLIC,[np.int32(-7)]
2,2,7,1819,CYCLIC,[np.int32(-7)]
2,2,7,530,CYCLIC,[np.int32(-7)]
2,2,7,1746,CYCLIC,[np.int32(-7)]
2,2,7,1276,CYCLIC,[np.int32(-7)]
2,2,7,1050,CYCLIC,[np.int32(-7)]
2,2,7,1460,CYCLIC,[np.int32(-7)]
2,2,7,1301,CYCLIC,[np.int32(-7)]
2,2,7,703,CYCLIC,[np.int32(-7)]
2,2,7,1095,CYCLIC,[np.int32(-7)]
2,2,7,168,CYCLIC,[np.int32(-7)]
2,2,7,1553,CYCLIC,[np.int32(-7)]
2,2,7,313,CYCLIC,[np.int32(-7)]
2,2,7,367,CYCLIC,[np.int32(-7)]
2,2,7,450,CYCLIC,[np.int32(-7)]
2,2,7,1155,CYCLIC,[np.int32(-7)]
2,2,7,1656,CYCLIC,[np.int32(-7)]
2,2,7,87,CYCLIC,[np.int32(-7)]
2,2,7,1098,CYCLIC,[np.int32(-7)]
2,2,7,1368,CYCLIC,[np.int32(-7)]
2,2,7,546,CYCLIC,[np.int32(-7)]
2,2,7,228,CYCLIC,[np.int32(-7)]
2,2,7,1505,CYCLIC,[np.int32(-7)]
2,2,7,14,CYCLIC,[np.int32(-7)]
2,2,7,533,CYCLIC,[np.int32(-7)]
2,2,7,1392,CYCLIC,[np.int32(-7)]
2,2,7,771,CYCLIC,[np.int32(-7)]
2,2,7,178,CYCLIC,[np.int32(-7)]
2,2,7,1721,CYCLIC,[np.int32(-7)]
2,2,7,1165,CYCLIC,[np.int32(-7)]
2,2,7,255,CYCLIC,[np.int32(-7)]
2,2,7,1315,CYCLIC,[np.int32(-7)]
2,2,7,1473,CYCLIC,[np.int32(-7)]
2,2,7,740,CYCLIC,[np.int32(-7)]
2,2,7,1952,CYCLIC,[np.int32(-7)]
2,2,7,251,CYCLIC,[np.int32(-7)]
2,2,7,1836,CYCLIC,[np.int32(-7)]
2,2,7,312,CYCLIC,[np.int32(-7)]
2,2,7,1850,CYCLIC,[np.int32(-7)]
2,2,7,1639,CYCLIC,[np.int32(-7)]
2,2,7,935,CYCLIC,[np.int32(-7)]
2,2,7,1486,CYCLIC,[np.int32(-7)]
2,2,7,1712,CYCLIC,[np.int32(-7)]
2,2,7,991,CYCLIC,[np.int32(-7)]
2,2,7,282,CYCLIC,[np.int32(-7)]
2,2,7,751,CYCLIC,[np.int32(-7)]
2,2,7,1122,CYCLIC,[np.int32(-7)]
2,2,7,548,CYCLIC,[np.int32(-7)]
2,2,7,1655,CYCLIC,[np.int32(-7)]
2,2,7,427,CYCLIC,[np.int32(-7)]
2,2,7,721,CYCLIC,[np.int32(-7)]
2,2,7,192,CYCLIC,[np.int32(-7)]
2,2,7,598,CYCLIC,[np.int32(-7)]
2,2,7,506,CYCLIC,[np.int32(-7)]
2,2,7,754,CYCLIC,[np.int32(-7)]
2,2,7,443,CYCLIC,[np.int32(-7)]
2,2,7,121,CYCLIC,[np.int32(-7)]
2,2,7,801,CYCLIC,[np.int32(-7)]
2,2,7,511,CYCLIC,[np.int32(-7)]
2,2,7,1319,CYCLIC,[np.int32(-7)]
2,2,7,690,CYCLIC,[np.int32(-7)]
2,2,7,180,CYCLIC,[np.int32(-7)]
2,2,7,341,CYCLIC,[np.int32(-7)]
2,2,7,1734,CYCLIC,[np.int32(-7)]
2,2,7,69,CYCLIC,[np.int32(-7)]
2,2,7,1133,CYCLIC,[np.int32(-7)]
2,2,7,1220,CYCLIC,[np.int32(-7)]
2,2,7,1406,CYCLIC,[np.int32(-7)]
2,2,7,1989,CYCLIC,[np.int32(-7)]
