n,cluster,length,max_log,stopping_time,event_entropy,event_compression,peak_count,return_count,cycle_count,avg_run_length,max_run_length,up_ratio,unique_values,fractal_like
16861,6,160,4.7040217543300145,159,1.504612436879805,0.9967948717948718,1,152,0.0,1.0032154340836013,2,0.1794871794871795,160,1.0
49630,2,97,5.979556113635344,96,1.6974551021721003,0.9719101123595506,8,74,0.0,1.0289017341040463,5,0.17415730337078653,97,1.0
8672,0,48,3.9381693463903202,47,1.42538535202663,1.0,0,47,0.0,1.0,1,0.13829787234042554,48,1.0
33249,4,117,5.27732723243055,116,1.5664879341894882,0.9820627802690582,3,104,0.0,1.0182648401826484,3,0.17488789237668162,117,1.0
33248,0,68,4.521778587954529,67,1.439729386821452,1.0,0,67,0.0,1.0,1,0.14925373134328357,68,1.0
49634,6,159,4.871882201849058,158,1.4953760035103312,1.0,1,156,0.0,1.0,1,0.1746031746031746,159,1.0
33254,4,192,5.4309276422737955,191,1.5839209698802519,0.989247311827957,6,175,0.0,1.0108695652173914,4,0.1827956989247312,192,1.0
8681,2,79,4.870269264827154,78,1.6625582868451558,0.9652777777777778,5,61,0.0,1.0359712230215827,4,0.1736111111111111,79,1.0
25067,2,140,5.734083412929728,139,1.6677022495694827,0.9590163934426229,7,98,0.0,1.0427350427350428,3,0.19672131147540983,140,1.0
25071,1,88,5.859076422442157,87,1.7426755198763502,0.888,8,30,0.0,1.1261261261261262,4,0.224,88,1.0
33268,0,55,4.522039747036275,54,1.4262025893247394,1.0,0,54,0.0,1.0,1,0.1388888888888889,55,1.0
33271,2,99,5.6809525165510015,98,1.6586610345289095,0.9593023255813954,5,69,0.0,1.0424242424242425,4,0.18604651162790697,99,1.0
33272,5,55,4.976666297985018,54,1.585562851254837,0.9906542056074766,3,50,0.0,1.009433962264151,2,0.14018691588785046,55,1.0
504,1,111,3.965342835560622,110,1.7514910347217292,0.9337016574585635,9,62,0.0,1.0710059171597632,4,0.2154696132596685,111,1.0
507,2,36,3.461948495203762,35,1.754079125322919,0.9310344827586207,4,19,0.0,1.0740740740740742,3,0.1724137931034483,36,1.0
33276,2,91,5.453790607803249,90,1.6739320371828053,0.9695121951219512,6,68,0.0,1.0314465408805031,3,0.17682926829268292,91,1.0
513,0,36,3.1878026387184195,35,1.563724632642896,0.96875,1,28,0.0,1.032258064516129,2,0.15625,36,1.0
33282,0,55,4.69831807354274,54,1.4970098759984154,1.0,1,52,0.0,1.0,1,0.14018691588785046,55,1.0
25091,5,65,5.052743946382382,64,1.55042466864119,0.984,2,59,0.0,1.016260162601626,3,0.152,65,1.0
41481,5,89,5.3222296349556295,88,1.5809077520061716,0.9821428571428571,3,77,0.0,1.018181818181818,2,0.16666666666666666,89,1.0
25099,5,65,5.052882390224028,64,1.5614267824359247,0.9836065573770492,2,56,0.0,1.0166666666666666,2,0.1557377049180328,65,1.0
