q,n_start,steps_to_graph,on_graph
625,41000479,0,True
626,41066015,0,True
627,41131551,0,True
628,41197087,0,True
629,41262623,0,True
630,41328159,0,True
631,41393695,0,True
632,41459231,0,True
633,41524767,0,True
634,41590303,0,True
635,41655839,0,True
636,41721375,0,True
637,41786911,0,True
638,41852447,0,True
639,41917983,0,True
640,41983519,0,True
641,42049055,0,True
642,42114591,0,True
643,42180127,0,True
644,42245663,0,True
645,42311199,0,True
646,42376735,0,True
647,42442271,0,True
648,42507807,0,True
649,42573343,0,True
650,42638879,0,True
651,42704415,0,True
652,42769951,0,True
653,42835487,0,True
654,42901023,0,True
655,42966559,0,True
656,43032095,0,True
657,43097631,0,True
658,43163167,0,True
659,43228703,0,True
660,43294239,0,True
661,43359775,0,True
662,43425311,0,True
663,43490847,0,True
664,43556383,0,True
665,43621919,0,True
666,43687455,0,True
667,43752991,0,True
668,43818527,0,True
669,43884063,0,True
670,43949599,0,True
671,44015135,0,True
672,44080671,0,True
673,44146207,0,True
674,44211743,0,True
675,44277279,0,True
676,44342815,0,True
677,44408351,0,True
678,44473887,0,True
679,44539423,0,True
680,44604959,0,True
681,44670495,0,True
682,44736031,0,True
683,44801567,0,True
684,44867103,0,True
685,44932639,0,True
686,44998175,0,True
687,45063711,0,True
688,45129247,0,True
689,45194783,0,True
690,45260319,0,True
691,45325855,0,True
692,45391391,0,True
693,45456927,0,True
694,45522463,0,True
695,45587999,0,True
696,45653535,0,True
697,45719071,0,True
698,45784607,0,True
699,45850143,0,True
700,45915679,0,True
701,45981215,0,True
702,46046751,0,True
703,46112287,0,True
704,46177823,0,True
705,46243359,0,True
706,46308895,0,True
707,46374431,0,True
708,46439967,0,True
709,46505503,0,True
710,46571039,0,True
711,46636575,0,True
712,46702111,0,True
713,46767647,0,True
714,46833183,0,True
715,46898719,0,True
716,46964255,0,True
717,47029791,0,True
718,47095327,0,True
719,47160863,0,True
720,47226399,0,True
721,47291935,0,True
722,47357471,0,True
723,47423007,0,True
724,47488543,0,True
725,47554079,0,True
726,47619615,0,True
727,47685151,0,True
728,47750687,0,True
729,47816223,0,True
730,47881759,0,True
731,47947295,0,True
732,48012831,0,True
733,48078367,0,True
734,48143903,0,True
735,48209439,0,True
736,48274975,0,True
737,48340511,0,True
738,48406047,0,True
739,48471583,0,True
740,48537119,0,True
741,48602655,0,True
742,48668191,0,True
743,48733727,0,True
744,48799263,0,True
745,48864799,0,True
746,48930335,0,True
747,48995871,0,True
748,49061407,0,True
749,49126943,0,True
750,49192479,0,True
751,49258015,0,True
752,49323551,0,True
753,49389087,0,True
754,49454623,0,True
755,49520159,0,True
756,49585695,0,True
757,49651231,0,True
758,49716767,0,True
759,49782303,0,True
760,49847839,0,True
761,49913375,0,True
762,49978911,0,True
763,50044447,0,True
764,50109983,0,True
765,50175519,0,True
766,50241055,0,True
767,50306591,0,True
768,50372127,0,True
769,50437663,0,True
770,50503199,0,True
771,50568735,0,True
772,50634271,0,True
773,50699807,0,True
774,50765343,0,True
775,50830879,0,True
776,50896415,0,True
777,50961951,0,True
778,51027487,0,True
779,51093023,0,True
780,51158559,0,True
781,51224095,0,True
782,51289631,0,True
783,51355167,0,True
784,51420703,0,True
785,51486239,0,True
786,51551775,0,True
787,51617311,0,True
788,51682847,0,True
789,51748383,0,True
790,51813919,0,True
791,51879455,0,True
792,51944991,0,True
793,52010527,0,True
794,52076063,0,True
795,52141599,0,True
796,52207135,0,True
797,52272671,0,True
798,52338207,0,True
799,52403743,0,True
800,52469279,0,True
801,52534815,0,True
802,52600351,0,True
803,52665887,0,True
804,52731423,0,True
805,52796959,0,True
806,52862495,0,True
807,52928031,0,True
808,52993567,0,True
809,53059103,0,True
810,53124639,0,True
811,53190175,0,True
812,53255711,0,True
813,53321247,0,True
814,53386783,0,True
815,53452319,0,True
816,53517855,0,True
817,53583391,0,True
818,53648927,0,True
819,53714463,0,True
820,53779999,0,True
821,53845535,0,True
822,53911071,0,True
823,53976607,0,True
824,54042143,0,True
825,54107679,0,True
826,54173215,0,True
827,54238751,0,True
828,54304287,0,True
829,54369823,0,True
830,54435359,0,True
831,54500895,0,True
832,54566431,0,True
833,54631967,0,True
834,54697503,0,True
835,54763039,0,True
836,54828575,0,True
837,54894111,0,True
838,54959647,0,True
839,55025183,0,True
840,55090719,0,True
841,55156255,0,True
842,55221791,0,True
843,55287327,0,True
844,55352863,0,True
845,55418399,0,True
846,55483935,0,True
847,55549471,0,True
848,55615007,0,True
849,55680543,0,True
850,55746079,0,True
851,55811615,0,True
852,55877151,0,True
853,55942687,0,True
854,56008223,0,True
855,56073759,0,True
856,56139295,0,True
857,56204831,0,True
858,56270367,0,True
859,56335903,0,True
860,56401439,0,True
861,56466975,0,True
862,56532511,0,True
863,56598047,0,True
864,56663583,0,True
865,56729119,0,True
866,56794655,0,True
867,56860191,0,True
868,56925727,0,True
869,56991263,0,True
870,57056799,0,True
871,57122335,0,True
872,57187871,0,True
873,57253407,0,True
874,57318943,0,True
875,57384479,0,True
876,57450015,0,True
877,57515551,0,True
878,57581087,0,True
879,57646623,0,True
880,57712159,0,True
881,57777695,0,True
882,57843231,0,True
883,57908767,0,True
884,57974303,0,True
885,58039839,0,True
886,58105375,0,True
887,58170911,0,True
888,58236447,0,True
889,58301983,0,True
