r,v,rank,rank_next,tau,efficiency,next_r,next_v
7123,0,47,46,1,1,21370,1
7124,2,73,72,1,1,3562,1
7125,0,73,72,1,1,21376,3
7126,1,66,65,1,1,3563,0
7127,0,66,65,1,1,21382,1
7128,3,47,46,1,1,3564,2
7129,0,117,116,1,1,21388,2
7130,1,47,46,1,1,3565,0
7131,0,192,191,1,1,21394,1
7132,2,47,46,1,1,3566,1
7133,0,47,46,1,1,21400,3
7134,1,166,165,1,1,3567,0
7135,0,93,92,1,1,21406,1
7136,3,73,72,1,1,3568,3
7137,0,47,46,1,1,21412,2
7138,1,73,72,1,1,3569,0
7139,0,73,72,1,1,21418,1
7140,2,29,28,1,1,3570,1
7141,0,29,28,1,1,21424,3
7142,1,29,28,1,1,3571,0
7143,0,112,111,1,1,21430,1
7144,3,73,72,1,1,3572,2
7145,0,90,89,1,1,21436,2
7146,1,73,72,1,1,3573,0
7147,0,99,98,1,1,21442,1
7148,2,47,46,1,1,3574,1
7149,0,47,46,1,1,21448,3
7150,1,47,46,1,1,3575,0
7151,0,155,154,1,1,21454,1
7152,3,99,98,1,1,3576,3
7153,0,73,72,1,1,21460,2
7154,1,73,72,1,1,3577,0
7155,0,73,72,1,1,21466,1
7156,2,99,98,1,1,3578,1
7157,0,99,98,1,1,21472,3
7158,1,73,72,1,1,3579,0
7159,0,73,72,1,1,21478,1
7160,3,99,98,1,1,3580,2
7161,0,110,109,1,1,21484,2
7162,1,99,98,1,1,3581,0
7163,0,55,54,1,1,21490,1
7164,2,154,153,1,1,3582,1
7165,0,154,153,1,1,21496,3
7166,1,81,80,1,1,3583,0
7167,0,88,87,1,1,21502,1
7168,3,24,23,1,1,3584,3
7169,0,73,72,1,1,21508,2
7170,1,73,72,1,1,3585,0
7171,0,73,72,1,1,21514,1
7172,2,117,116,1,1,3586,1
7173,0,117,116,1,1,21520,3
7174,1,117,116,1,1,3587,0
7175,0,73,72,1,1,21526,1
7176,3,68,67,1,1,3588,2
7177,0,73,72,1,1,21532,2
7178,1,68,67,1,1,3589,0
7179,0,117,116,1,1,21538,1
7180,2,68,67,1,1,3590,1
7181,0,68,67,1,1,21544,3
7182,1,53,52,1,1,3591,0
7183,0,62,61,1,1,21550,1
7184,3,117,116,1,1,3592,3
7185,0,68,67,1,1,21556,2
7186,1,29,28,1,1,3593,0
7187,0,29,28,1,1,21562,1
7188,2,117,116,1,1,3594,1
7189,0,117,116,1,1,21568,3
7190,1,68,67,1,1,3595,0
7191,0,68,67,1,1,21574,1
7192,3,117,116,1,1,3596,2
7193,0,161,160,1,1,21580,2
7194,1,117,116,1,1,3597,0
