r,v,initial_rank,n_start,escaped,escape_steps,final_rank
330,1,110,65866,True,1,53
330,1,110,131402,True,1,109
332,2,110,332,True,1,109
332,2,110,65868,True,7,109
332,2,110,131404,True,1,109
334,1,66,334,True,1,65
334,1,66,65870,True,8,62
334,1,66,131406,True,1,65
336,3,9,336,True,1,8
336,3,9,65872,True,120,8
336,3,9,131408,True,1,8
338,1,48,338,True,1,47
338,1,48,65874,True,3,40
338,1,48,131410,True,1,47
340,2,9,340,True,1,8
340,2,9,65876,True,120,8
340,2,9,131412,True,1,8
342,1,123,342,True,1,122
342,1,123,65878,True,1,53
342,1,123,131414,True,1,122
344,3,30,344,True,1,29
344,3,30,65880,True,86,29
344,3,30,131416,True,1,29
346,1,30,346,True,1,29
346,1,30,65882,True,86,29
346,1,30,131418,True,1,29
348,2,30,348,True,1,29
348,2,30,65884,True,1,28
348,2,30,131420,True,1,29
350,1,79,350,True,1,78
350,1,79,65886,True,7,48
350,1,79,131422,True,1,78
352,3,17,352,True,1,16
352,3,17,65888,True,24,16
352,3,17,131424,True,1,16
354,1,30,354,True,1,29
354,1,30,65890,True,3,26
354,1,30,131426,True,1,29
356,2,30,356,True,1,29
356,2,30,65892,True,86,29
356,2,30,131428,True,1,29
358,1,30,358,True,1,29
358,1,30,65894,True,3,26
358,1,30,131430,True,1,29
360,3,17,360,True,1,16
360,3,17,65896,True,24,16
360,3,17,131432,True,1,16
362,1,17,362,True,1,16
362,1,17,65898,True,24,16
362,1,17,131434,True,1,16
364,2,92,364,True,1,91
364,2,92,65900,True,6,71
364,2,92,131436,True,1,91
366,1,92,366,True,1,91
366,1,92,65902,True,1,63
366,1,92,131438,True,1,91
368,3,17,368,True,1,16
368,3,17,65904,True,24,16
368,3,17,131440,True,1,16
370,1,43,370,True,1,42
370,1,43,65906,True,78,42
370,1,43,131442,True,1,42
372,2,17,372,True,1,16
372,2,17,65908,True,24,16
372,2,17,131444,True,1,16
374,1,43,374,True,1,42
374,1,43,65910,True,78,42
374,1,43,131446,True,1,42
376,3,105,376,True,1,104
376,3,105,65912,True,1,71
376,3,105,131448,True,1,104
378,1,105,378,True,1,104
378,1,105,65914,True,3,69
378,1,105,131450,True,1,104
380,2,105,380,True,1,104
380,2,105,65916,True,6,67
380,2,105,131452,True,1,104
382,1,43,382,True,1,42
382,1,43,65918,True,78,42
382,1,43,131454,True,1,42
384,3,12,384,True,1,11
384,3,12,65920,True,117,11
384,3,12,131456,True,1,11
386,1,118,386,True,1,117
386,1,118,65922,True,3,52
386,1,118,131458,True,1,117
388,2,118,388,True,1,117
388,2,118,65924,True,1,78
388,2,118,131460,True,1,117
390,1,118,390,True,1,117
390,1,118,65926,True,3,52
390,1,118,131462,True,1,117
392,3,25,392,True,1,24
392,3,25,65928,True,42,24
392,3,25,131464,True,1,24
394,1,25,394,True,1,24
394,1,25,65930,True,42,24
394,1,25,131466,True,1,24
396,2,25,396,True,1,24
396,2,25,65932,True,42,24
396,2,25,131468,True,1,24
398,1,118,398,True,1,117
398,1,118,65934,True,1,107
398,1,118,131470,True,1,117
400,3,25,400,True,1,24
400,3,25,65936,True,42,24
400,3,25,131472,True,1,24
402,1,17,402,True,1,16
402,1,17,65938,True,24,16
402,1,17,131474,True,1,16
404,2,25,404,True,1,24
404,2,25,65940,True,42,24
404,2,25,131476,True,1,24
406,1,38,406,True,1,37
406,1,38,65942,True,122,37
406,1,38,131478,True,1,37
408,3,25,408,True,1,24
408,3,25,65944,True,42,24
408,3,25,131480,True,1,24
410,1,25,410,True,1,24
410,1,25,65946,True,42,24
410,1,25,131482,True,1,24
412,2,87,412,True,1,86
412,2,87,65948,True,1,54
412,2,87,131484,True,1,86
414,1,87,414,True,1,86
414,1,87,65950,True,1,76
414,1,87,131486,True,1,86
416,3,12,416,True,1,11
416,3,12,65952,True,117,11
416,3,12,131488,True,1,11
418,1,38,418,True,1,37
418,1,38,65954,True,122,37
418,1,38,131490,True,1,37
420,2,38,420,True,1,37
420,2,38,65956,True,122,37
420,2,38,131492,True,1,37
422,1,38,422,True,1,37
422,1,38,65958,True,122,37
422,1,38,131494,True,1,37
424,3,12,424,True,1,11
424,3,12,65960,True,117,11
424,3,12,131496,True,1,11
426,1,12,426,True,1,11
426,1,12,65962,True,117,11
426,1,12,131498,True,1,11
428,2,100,428,True,1,99
428,2,100,65964,True,1,80
428,2,100,131500,True,1,99
430,1,100,430,True,1,99
430,1,100,65966,True,1,76
430,1,100,131502,True,1,99
432,3,113,432,True,1,112
432,3,113,65968,True,19,78
432,3,113,131504,True,1,112
434,1,25,434,True,1,24
