r,v
3880,3
3882,1
3884,2
3886,1
3888,3
3890,1
3892,2
3894,1
3896,3
3898,1
3900,2
3902,1
3904,3
3906,1
3908,2
3910,1
3912,3
3914,1
3916,2
3918,1
3920,3
3922,1
3924,2
3926,1
3928,3
3930,1
3932,2
3934,1
3936,3
3938,1
3940,2
3942,1
3944,3
3946,1
3948,2
3950,1
3952,3
3954,1
3956,2
3958,1
3960,3
3962,1
3964,2
3966,1
3968,3
3970,1
3972,2
3974,1
3976,3
3978,1
3980,2
3982,1
3984,3
3986,1
3988,2
3990,1
3992,3
3994,1
3996,2
3998,1
4000,3
4002,1
4004,2
4006,1
4008,3
4010,1
4012,2
4014,1
4016,3
4018,1
4020,2
4022,1
4024,3
4026,1
4028,2
4030,1
4032,3
4034,1
4036,2
4038,1
4040,3
4042,1
4044,2
4046,1
4048,3
4050,1
4052,2
4054,1
4056,3
4058,1
4060,2
4062,1
4064,3
4066,1
4068,2
4070,1
4072,3
4074,1
4076,2
4078,1
4080,3
4082,1
4084,2
4086,1
4088,3
4090,1
4092,2
4094,1
4096,3
4098,1
4100,2
4102,1
4104,3
4106,1
4108,2
4110,1
4112,3
4114,1
4116,2
4118,1
4120,3
4122,1
4124,2
4126,1
4128,3
4130,1
4132,2
4134,1
4136,3
4138,1
4140,2
4142,1
4144,3
4146,1
4148,2
4150,1
4152,3
4154,1
4156,2
4158,1
4160,3
4162,1
4164,2
4166,1
4168,3
4170,1
4172,2
4174,1
4176,3
4178,1
4180,2
4182,1
4184,3
4186,1
4188,2
4190,1
4192,3
4194,1
4196,2
4198,1
4200,3
4202,1
4204,2
4206,1
4208,3
4210,1
4212,2
4214,1
4216,3
4218,1
4220,2
4222,1
4224,3
4226,1
4228,2
4230,1
4232,3
4234,1
4236,2
4238,1
4240,3
4242,1
4244,2
4246,1
4248,3
4250,1
4252,2
4254,1
4256,3
4258,1
4260,2
4262,1
4264,3
4266,1
4268,2
4270,1
4272,3
4274,1
4276,2
4278,1
4280,3
4282,1
4284,2
4286,1
4288,3
4290,1
4292,2
4294,1
4296,3
4298,1
4300,2
4302,1
4304,3
4306,1
4308,2
4310,1
4312,3
4314,1
4316,2
4318,1
4320,3
4322,1
4324,2
4326,1
4328,3
4330,1
